SECTION A,,,,,,,SECTION B,,,,,,SECTION C,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
DTR CROSS DATA  FOR SPOT,,,,,,,OPTIONS DATA TO BE USED,,,,,,TRADE DATA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol,Trade,Day,Date,Time,Price,,Date,Time,ATM,Type,Expiry Date,,Option Price ,Trigger Price,SL,Target,Exit Price,Price at 3:09PM,P/L,Comments,Profit Per Lot,,Cummulative Profits,,MDD
,,,,,,,,,,,,,at DTR Cross,,,,,,(Points),,-25,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
NIFTY BANK.NSE_IDX,Short,Tue,1/9/18,9:30:00 AM,25657.2,,1/9/18,9:30:00 AM,25700,PE,1/11/18,,65.7,76.21,53.35,121.94,77.7,,1.49,Exit at 310,37.2,,37.2,,0
NIFTY BANK.NSE_IDX,Short,Wed,1/10/18,11:15:00 AM,25588.9,,1/10/18,11:15:00 AM,25600,PE,1/11/18,,77.45,89.84,62.89,143.75,62.8,,-27.04,SL ,-676.05,,-638.85,,-676.05
NIFTY BANK.NSE_IDX,Short,Fri,1/12/18,12:30:00 PM,25563.55,,1/12/18,12:30:00 PM,25600,PE,1/18/18,,88.15,102.25,71.58,163.61,71.5,,-30.75,SL ,-768.85,,"-1,407.70",,"-1,444.90"
NIFTY BANK.NSE_IDX,Long,Mon,1/15/18,10:15:00 AM,25985.15,,1/15/18,10:15:00 AM,26000,CE,1/18/18,,345.6,400.9,280.63,641.43,454.8,,53.9,Exit at 310,1347.6,,-60.1,,-97.3
NIFTY BANK.NSE_IDX,Short,Tue,1/16/18,10:30:00 AM,25984.55,,1/16/18,10:30:00 AM,26000,PE,1/18/18,,90.6,105.1,73.57,168.15,,,0,No Trade,0,,-60.1,,-97.3
NIFTY BANK.NSE_IDX,Long,Wed,1/17/18,9:30:00 AM,26071.65,,1/17/18,9:30:00 AM,26100,CE,1/18/18,,23.5,27.26,19.08,43.62,43.6,,16.34,Target,408.5,,348.4,,0
NIFTY BANK.NSE_IDX,Long,Tue,1/23/18,12:15:00 PM,27232.35,,1/23/18,12:15:00 PM,27200,CE,1/25/18,,150.25,174.29,122,278.86,278.85,,104.56,Target,2614,,"2,962.40",,0
NIFTY BANK.NSE_IDX,Long,Mon,1/29/18,11:00:00 AM,27642.35,,1/29/18,11:00:00 AM,27600,CE,2/1/18,,328.65,381.23,266.86,609.97,,,0,No Trade,0,,"2,962.40",,0
NIFTY BANK.NSE_IDX,Short,Tue,1/30/18,9:30:00 AM,27328.55,,1/30/18,9:30:00 AM,27300,PE,2/1/18,,289.2,335.47,234.83,536.76,,,0,No Trade,0,,"2,962.40",,0
NIFTY BANK.NSE_IDX,Long,Wed,1/31/18,9:30:00 AM,27314.5,,1/31/18,9:30:00 AM,27300,CE,2/1/18,,218,252.88,177.02,404.61,177,,-75.88,SL ,-1897,,"1,065.40",,"-1,897.00"
NIFTY BANK.NSE_IDX,Long,Thu,2/1/18,11:00:00 AM,27554.25,,2/1/18,11:00:00 AM,27600,CE,2/1/18,,199.5,231.42,161.99,370.27,,,0,No Trade,0,,"1,065.40",,"-1,897.00"
NIFTY BANK.NSE_IDX,Short,Fri,2/2/18,10:15:00 AM,26656.9,,2/2/18,10:15:00 AM,26700,PE,2/8/18,,268.65,311.63,218.14,498.61,315.5,,3.87,Exit at 310,96.65,,"1,162.05",,"-1,800.35"
NIFTY BANK.NSE_IDX,Long,Tue,2/6/18,12:30:00 PM,25346.1,,2/6/18,12:30:00 PM,25300,CE,2/8/18,,315.35,365.81,256.06,585.29,585.3,,219.49,Target,5487.35,,"6,649.40",,0
NIFTY BANK.NSE_IDX,Long,Thu,2/8/18,1:30:00 PM,26081.85,,2/8/18,1:30:00 PM,26100,CE,2/8/18,,45.85,53.19,37.23,85.1,37.2,,-15.99,SL,-399.65,,"6,249.75",,-399.65
NIFTY BANK.NSE_IDX,Long,Mon,2/12/18,2:00:00 PM,25675.25,,2/12/18,2:00:00 PM,25700,CE,2/15/18,,203.35,235.89,165.12,377.42,,,0,No Trade,0,,"6,249.75",,-399.65
NIFTY BANK.NSE_IDX,Short,Wed,2/14/18,9:30:00 AM,25559.85,,2/14/18,9:30:00 AM,25600,PE,2/15/18,,162.3,188.27,131.79,301.23,131.8,,-56.47,SL ,-1411.7,,"4,838.05",,"-1,811.35"
NIFTY BANK.NSE_IDX,Short,Fri,2/16/18,11:15:00 AM,25323.65,,2/16/18,11:15:00 AM,25300,PE,2/22/18,,223.95,259.78,181.85,415.65,289.5,,29.72,Exit at 310,742.95,,"5,581.00",,"-1,068.40"
NIFTY BANK.NSE_IDX,Short,Mon,2/19/18,9:45:00 AM,24972.05,,2/19/18,9:45:00 AM,25000,PE,2/22/18,,234.9,272.48,190.74,435.97,190.75,,-81.73,SL,-2043.35,,"3,537.65",,"-3,111.75"
NIFTY BANK.NSE_IDX,Short,Wed,2/21/18,1:15:00 PM,24818.1,,2/21/18,1:15:00 PM,24800,PE,2/22/18,,125.45,145.52,101.87,232.84,,,0,No Trade,0,,"3,537.65",,"-3,111.75"
NIFTY BANK.NSE_IDX,Long,Fri,2/23/18,9:15:00 AM,25115.25,,2/23/18,9:15:00 AM,25100,CE,3/1/18,,192,222.72,155.9,356.35,277.7,,54.98,Exit at 310,1374.5,,"4,912.15",,"-1,737.25"
NIFTY BANK.NSE_IDX,Long,Mon,2/26/18,1:30:00 PM,25669.9,,2/26/18,1:30:00 PM,25700,CE,3/1/18,,119.9,139.08,97.36,222.53,126,,-13.08,Exit at 310,-327.1,,"4,585.05",,"-2,064.35"
NIFTY BANK.NSE_IDX,Short,Tue,2/27/18,10:00:00 AM,25470.05,,2/27/18,10:00:00 AM,25500,PE,3/1/18,,146.35,169.77,118.84,271.63,185.55,,15.78,Exit at 310,394.6,,"4,979.65",,"-1,669.75"
NIFTY BANK.NSE_IDX,Long,Thu,3/1/18,9:15:00 AM,25190.05,,3/1/18,9:15:00 AM,25200,CE,3/1/18,,61.4,71.22,49.86,113.96,,,0,No Trade,0,,"4,979.65",,"-1,669.75"
NIFTY BANK.NSE_IDX,Short,Tue,3/6/18,11:15:00 AM,24840.25,,3/6/18,11:15:00 AM,24800,PE,3/8/18,,126.85,147.15,103,235.43,235.45,,88.3,Target,2207.6,,"7,187.25",,0
NIFTY BANK.NSE_IDX,Short,Thu,3/8/18,10:15:00 AM,24067.35,,3/8/18,10:15:00 AM,24100,PE,3/8/18,,86.3,100.11,70.08,160.17,,,0,No Trade,0,,"7,187.25",,0
NIFTY BANK.NSE_IDX,Long,Tue,3/13/18,9:45:00 AM,24912.55,,3/13/18,9:45:00 AM,24900,CE,3/15/18,,195,226.2,158.34,361.92,158.35,,-67.85,SL,-1696.25,,"5,491.00",,"-1,696.25"
NIFTY BANK.NSE_IDX,Short,Mon,3/19/18,11:30:00 AM,24340.6,,3/19/18,11:30:00 AM,24300,PE,3/22/18,,186,215.76,151.03,345.22,206.9,,-8.86,Exit at 310,-221.5,,"5,269.50",,"-1,917.75"
NIFTY BANK.NSE_IDX,Short,Fri,3/23/18,11:15:00 AM,23645.9,,3/23/18,11:15:00 AM,23600,PE,3/29/18,,178.35,206.89,144.82,331.02,,,0,No Trade,0,,"5,269.50",,"-1,917.75"
